country,cannot_build
ASD,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
ASR,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
AST,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
ASU,apothecary elephant_hunting_grounds lacquerware_guild porcelain_guild
ATH,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
ATI,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
ATJ,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
ATL,RGO_building_alum RGO_building_coal RGO_building_horses RGO_building_iron RGO_building_saltpeter apothecary bog_iron_smelter elephant_hunting_grounds hand_cannon_guild lacquerware_guild local_smelters porcelain_guild
ATO,RGO_building_alum RGO_building_coal RGO_building_horses RGO_building_iron RGO_building_saltpeter apothecary bog_iron_smelter elephant_hunting_grounds hand_cannon_guild lacquerware_guild local_smelters porcelain_guild
ATP,RGO_building_alum RGO_building_coal RGO_building_horses RGO_building_iron RGO_building_saltpeter apothecary bog_iron_smelter elephant_hunting_grounds hand_cannon_guild lacquerware_guild local_smelters porcelain_guild
ATQ,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
ATT,RGO_building_alum RGO_building_coal RGO_building_horses RGO_building_iron RGO_building_saltpeter apothecary bog_iron_smelter elephant_hunting_grounds hand_cannon_guild lacquerware_guild local_smelters porcelain_guild
ATZ,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
AUD,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
AUG,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
AUM,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
AUV,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
AUX,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
AVR,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
AWO,RGO_building_alum RGO_building_coal RGO_building_iron RGO_building_saltpeter bog_iron_smelter elephant_hunting_grounds hand_cannon_guild lacquerware_guild local_smelters porcelain_guild
AXC,RGO_building_alum RGO_building_coal RGO_building_horses RGO_building_iron RGO_building_saltpeter apothecary bog_iron_smelter elephant_hunting_grounds hand_cannon_guild lacquerware_guild local_smelters porcelain_guild
AXO,RGO_building_alum RGO_building_coal RGO_building_horses RGO_building_iron RGO_building_saltpeter apothecary bog_iron_smelter elephant_hunting_grounds hand_cannon_guild lacquerware_guild local_smelters porcelain_guild
AYA,RGO_building_alum RGO_building_coal RGO_building_horses RGO_building_iron RGO_building_saltpeter apothecary bog_iron_smelter elephant_hunting_grounds hand_cannon_guild lacquerware_guild local_smelters porcelain_guild
AYD,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
AYO,RGO_building_alum RGO_building_coal RGO_building_horses RGO_building_iron RGO_building_saltpeter apothecary bog_iron_smelter elephant_hunting_grounds hand_cannon_guild lacquerware_guild local_smelters porcelain_guild
AZF,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
AZL,RGO_building_alum RGO_building_coal RGO_building_horses RGO_building_iron RGO_building_saltpeter apothecary bog_iron_smelter elephant_hunting_grounds hand_cannon_guild lacquerware_guild local_smelters porcelain_guild
BAC,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BAD,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BAI,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BAM,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BAR,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BAS,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BAT,elephant_hunting_grounds lacquerware_guild porcelain_guild
BAY,apothecary elephant_hunting_grounds lacquerware_guild porcelain_guild
BBG,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BBK,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BCH,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BDE,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BDS,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BEA,apothecary elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BEI,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BEN,RGO_building_alum RGO_building_coal RGO_building_iron RGO_building_saltpeter bog_iron_smelter elephant_hunting_grounds hand_cannon_guild lacquerware_guild local_smelters porcelain_guild
BES,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BFN,apothecary elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BFR,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BGG,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BGK,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BGL,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BGN,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BGR,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BGT,elephant_hunting_grounds lacquerware_guild porcelain_guild
BHA,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BHD,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BHL,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BHM,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BHP,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BHT,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BIA,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BIB,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BID,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BIM,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BIN,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BIO,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BIR,apothecary elephant_hunting_grounds lacquerware_guild porcelain_guild
BIT,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BJG,elephant_hunting_grounds lacquerware_guild porcelain_guild
BKH,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BKZ,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BLA,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BLB,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BLD,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BLE,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BLG,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BLI,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BLL,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BLM,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BLN,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BLO,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BLS,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BMB,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BMK,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BMP,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BMR,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BMS,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BNA,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BNB,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BND,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BNE,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BNI,elephant_hunting_grounds lacquerware_guild porcelain_guild
BNL,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BNT,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BOD,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BOH,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BOL,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BON,RGO_building_alum RGO_building_coal RGO_building_copper RGO_building_goods_gold RGO_building_horses RGO_building_iron RGO_building_lead RGO_building_legumes RGO_building_marble RGO_building_mercury RGO_building_saltpeter RGO_building_silver RGO_building_stone RGO_building_tin RGO_building_wheat apothecary bog_iron_smelter elephant_hunting_grounds hand_cannon_guild lacquerware_guild local_smelters paper_guild porcelain_guild scriptorium tools_guild weapon_guild windmill
BOR,RGO_building_alum RGO_building_coal RGO_building_copper RGO_building_goods_gold RGO_building_horses RGO_building_iron RGO_building_lead RGO_building_legumes RGO_building_marble RGO_building_mercury RGO_building_saltpeter RGO_building_silver RGO_building_stone RGO_building_tin RGO_building_wheat apothecary bog_iron_smelter elephant_hunting_grounds hand_cannon_guild lacquerware_guild local_smelters paper_guild porcelain_guild scriptorium tools_guild weapon_guild windmill
BOS,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BOU,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BOW,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BPR,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BQA,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BQL,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BRA,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BRB,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BRC,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BRE,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BRG,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BRI,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BRL,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BRM,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BRN,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BRO,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BRR,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BRU,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BRY,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BRZ,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BSC,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BSD,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BSK,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BSM,RGO_building_alum RGO_building_coal RGO_building_copper RGO_building_goods_gold RGO_building_horses RGO_building_iron RGO_building_lead RGO_building_legumes RGO_building_marble RGO_building_mercury RGO_building_saltpeter RGO_building_silver RGO_building_stone RGO_building_tin RGO_building_wheat apothecary bog_iron_smelter elephant_hunting_grounds hand_cannon_guild lacquerware_guild local_smelters paper_guild porcelain_guild scriptorium tools_guild weapon_guild windmill
BSP,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BST,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BTE,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BTG,apothecary elephant_hunting_grounds lacquerware_guild porcelain_guild
BTL,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BTN,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BTU,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BUD,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BUG,RGO_building_alum RGO_building_coal RGO_building_horses RGO_building_iron RGO_building_saltpeter bog_iron_smelter elephant_hunting_grounds hand_cannon_guild lacquerware_guild local_smelters porcelain_guild
BUL,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BUR,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BUS,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BWL,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BXN,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BYM,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BYZ,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BZH,elephant_hunting_grounds lacquerware_guild porcelain_guild
BZN,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
BZU,elephant_hunting_grounds
CAB,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
CAM,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
CAS,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
CAU,RGO_building_alum RGO_building_coal RGO_building_horses RGO_building_iron RGO_building_saltpeter apothecary bog_iron_smelter elephant_hunting_grounds hand_cannon_guild lacquerware_guild local_smelters porcelain_guild
CAV,RGO_building_alum RGO_building_coal RGO_building_horses RGO_building_iron RGO_building_saltpeter apothecary bog_iron_smelter elephant_hunting_grounds hand_cannon_guild lacquerware_guild local_smelters porcelain_guild
CBH,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
CBK,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
CCL,RGO_building_alum RGO_building_coal RGO_building_horses RGO_building_iron RGO_building_saltpeter apothecary bog_iron_smelter elephant_hunting_grounds hand_cannon_guild lacquerware_guild local_smelters porcelain_guild
CCN,RGO_building_alum RGO_building_coal RGO_building_horses RGO_building_iron RGO_building_saltpeter apothecary bog_iron_smelter elephant_hunting_grounds hand_cannon_guild lacquerware_guild local_smelters porcelain_guild
CCP,RGO_building_alum RGO_building_coal RGO_building_horses RGO_building_iron RGO_building_saltpeter apothecary bog_iron_smelter elephant_hunting_grounds hand_cannon_guild lacquerware_guild local_smelters porcelain_guild
CDC,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
CDD,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
CDL,elephant_hunting_grounds
CEB,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
CEM,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
CEP,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
CER,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
CES,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
CET,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
CEV,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
CFC,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
CGZ,elephant_hunting_grounds lacquerware_guild porcelain_guild
CHA,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
CHD,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
CHG,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
CHH,elephant_hunting_grounds
CHI,elephant_hunting_grounds
CHJ,RGO_building_alum RGO_building_coal RGO_building_horses RGO_building_iron RGO_building_saltpeter apothecary bog_iron_smelter elephant_hunting_grounds hand_cannon_guild lacquerware_guild local_smelters porcelain_guild
CHK,RGO_building_alum RGO_building_coal RGO_building_horses RGO_building_iron RGO_building_saltpeter apothecary bog_iron_smelter elephant_hunting_grounds hand_cannon_guild lacquerware_guild local_smelters paper_guild porcelain_guild scriptorium
CHL,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
CHM,RGO_building_alum RGO_building_coal RGO_building_horses RGO_building_iron RGO_building_saltpeter apothecary bog_iron_smelter elephant_hunting_grounds hand_cannon_guild lacquerware_guild local_smelters porcelain_guild
CHN,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
CHR,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
CHT,RGO_building_alum RGO_building_coal RGO_building_horses RGO_building_iron RGO_building_saltpeter apothecary bog_iron_smelter elephant_hunting_grounds hand_cannon_guild lacquerware_guild local_smelters porcelain_guild
CHX,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
CHZ,elephant_hunting_grounds lacquerware_guild porcelain_guild
CIC,RGO_building_alum RGO_building_coal RGO_building_horses RGO_building_iron RGO_building_saltpeter apothecary bog_iron_smelter elephant_hunting_grounds hand_cannon_guild lacquerware_guild local_smelters porcelain_guild
CIH,RGO_building_alum RGO_building_coal RGO_building_horses RGO_building_iron RGO_building_saltpeter apothecary bog_iron_smelter elephant_hunting_grounds hand_cannon_guild lacquerware_guild local_smelters porcelain_guild
CIL,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
CIN,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
CJK,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
CKL,apothecary elephant_hunting_grounds lacquerware_guild porcelain_guild
CKP,RGO_building_alum RGO_building_coal RGO_building_horses RGO_building_iron RGO_building_saltpeter apothecary bog_iron_smelter elephant_hunting_grounds hand_cannon_guild lacquerware_guild local_smelters porcelain_guild
CLA,apothecary elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
CLC,RGO_building_alum RGO_building_coal RGO_building_horses RGO_building_iron RGO_building_saltpeter apothecary bog_iron_smelter elephant_hunting_grounds hand_cannon_guild lacquerware_guild local_smelters porcelain_guild
CLE,elephant_hunting_grounds lacquerware_guild porcelain_guild
CLI,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
CLL,RGO_building_alum RGO_building_coal RGO_building_horses RGO_building_iron RGO_building_saltpeter apothecary bog_iron_smelter elephant_hunting_grounds hand_cannon_guild lacquerware_guild local_smelters porcelain_guild
CLM,RGO_building_alum RGO_building_coal RGO_building_horses RGO_building_iron RGO_building_saltpeter apothecary bog_iron_smelter elephant_hunting_grounds hand_cannon_guild lacquerware_guild local_smelters porcelain_guild
CLP,RGO_building_alum RGO_building_coal RGO_building_horses RGO_building_iron RGO_building_saltpeter apothecary bog_iron_smelter elephant_hunting_grounds hand_cannon_guild lacquerware_guild local_smelters porcelain_guild
CLQ,RGO_building_alum RGO_building_coal RGO_building_horses RGO_building_iron RGO_building_saltpeter apothecary bog_iron_smelter elephant_hunting_grounds hand_cannon_guild lacquerware_guild local_smelters porcelain_guild
CLR,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
CLT,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
CMA,apothecary elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
CMN,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
CMR,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
CMS,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
CNC,RGO_building_alum RGO_building_coal RGO_building_horses RGO_building_iron RGO_building_saltpeter apothecary bog_iron_smelter elephant_hunting_grounds hand_cannon_guild lacquerware_guild local_smelters porcelain_guild
CND,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
CNL,RGO_building_alum RGO_building_coal RGO_building_horses RGO_building_iron RGO_building_saltpeter apothecary bog_iron_smelter elephant_hunting_grounds hand_cannon_guild lacquerware_guild local_smelters porcelain_guild
CNN,apothecary elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
CNT,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
CNV,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
COC,RGO_building_alum RGO_building_coal RGO_building_horses RGO_building_iron RGO_building_saltpeter apothecary bog_iron_smelter elephant_hunting_grounds hand_cannon_guild lacquerware_guild local_smelters porcelain_guild
COG,elephant_hunting_grounds lacquerware_guild porcelain_guild
